"id";"restabfall";"datum";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"schadstoff";"del"
"213";"10";"2025-08-01";"3";"20";"";"";"";""
"214";"";"2025-08-02";"";"";"";"";"1";""
"215";"";"2025-08-03";"";"";"";"";"";""
"216";"1";"2025-08-04";"4";"";"";"";"";""
"217";"2";"2025-08-05";"5";"16";"";"";"";""
"218";"3";"2025-08-06";"";"17";"3";"";"";""
"219";"4";"2025-08-07";"";"18";"4";"";"2";""
"220";"5";"2025-08-08";"";"";"5";"";"";""
"221";"";"2025-08-09";"";"";"";"";"";""
"222";"";"2025-08-10";"";"";"";"";"";""
"223";"6";"2025-08-11";"1";"1";"";"";"";""
"224";"7";"2025-08-12";"2";"2";"";"";"";""
"225";"8";"2025-08-13";"";"3";"1";"";"";""
"226";"9";"2025-08-14";"";"4,14";"2";"";"3";""
"227";"10";"2025-08-15";"3";"5";"";"";"";""
"228";"";"2025-08-16";"";"";"";"";"";""
"229";"";"2025-08-17";"";"";"";"";"";""
"230";"1";"2025-08-18";"4";"6";"";"";"";""
"231";"2";"2025-08-19";"5";"7";"";"";"";""
"232";"3";"2025-08-20";"";"8";"3";"";"";""
"233";"4";"2025-08-21";"";"9";"4";"";"4";""
"234";"5";"2025-08-22";"";"13";"5";"";"";""
"235";"";"2025-08-23";"";"";"";"";"";""
"236";"";"2025-08-24";"";"";"";"";"";""
"237";"6";"2025-08-25";"1";"10";"";"";"";""
"238";"7";"2025-08-26";"2";"11";"";"";"";""
"239";"8";"2025-08-27";"";"12,19";"1";"";"";""
"240";"9";"2025-08-28";"";"15";"2";"";"5";""
"241";"10";"2025-08-29";"3";"20";"";"";"";""
"242";"";"2025-08-30";"";"";"";"";"";""
"243";"";"2025-08-31";"";"";"";"";"";""
"244";"1";"2025-09-01";"4";"";"";"";"";""
"245";"2";"2025-09-02";"5";"16";"";"";"";""
"246";"3";"2025-09-03";"";"17";"3";"";"";""
"247";"4";"2025-09-04";"";"18";"4";"";"";""
"248";"5";"2025-09-05";"";"";"5";"";"";""
"249";"";"2025-09-06";"";"";"";"";"1";""
"250";"";"2025-09-07";"";"";"";"";"";""
"251";"6";"2025-09-08";"1";"1";"";"";"";""
"252";"7";"2025-09-09";"2";"2";"";"";"";""
"253";"8";"2025-09-10";"";"3";"1";"";"";""
"254";"9";"2025-09-11";"";"4,14";"2";"";"";""
"255";"10";"2025-09-12";"3";"5";"";"";"";""
"256";"";"2025-09-13";"";"";"";"";"";""
"257";"";"2025-09-14";"";"";"";"";"";""
"258";"1";"2025-09-15";"4";"6";"";"";"";""
"259";"2";"2025-09-16";"5";"7";"";"";"";""
"260";"3";"2025-09-17";"";"8";"3";"";"";""
"261";"4";"2025-09-18";"";"9";"4";"";"";""
"262";"5";"2025-09-19";"";"13";"5";"";"";""
"263";"";"2025-09-20";"";"";"";"";"";""
"264";"";"2025-09-21";"";"";"";"";"";""
"265";"6";"2025-09-22";"1";"10";"";"";"";""
"266";"7";"2025-09-23";"2";"11";"";"";"";""
"267";"8";"2025-09-24";"";"12,19";"1";"";"";""
"268";"9";"2025-09-25";"";"15";"2";"";"";""
"269";"10";"2025-09-26";"3";"20";"";"";"";""
"270";"";"2025-09-27";"";"";"";"";"";""
"271";"";"2025-09-28";"";"";"";"";"";""
"272";"1";"2025-09-29";"4";"";"";"";"";""
"273";"2";"2025-09-30";"5";"16";"";"";"";""
"274";"3";"2025-10-01";"";"17";"3";"";"";""
"275";"4";"2025-10-02";"";"18";"4";"";"";""
"276";"";"2025-10-03";"";"";"";"";"";""
"277";"5";"2025-10-04";"";"";"5";"";"1";""
"278";"";"2025-10-05";"";"";"";"";"";""
"279";"6";"2025-10-06";"1";"1";"";"";"";""
"280";"7";"2025-10-07";"2";"2";"";"";"";""
"281";"8";"2025-10-08";"";"3";"1";"";"";""
"282";"9";"2025-10-09";"";"4,14";"2";"";"";""
"283";"10";"2025-10-10";"3";"5";"";"";"";""
"284";"";"2025-10-11";"";"";"";"";"";""
"285";"";"2025-10-12";"";"";"";"";"";""
"286";"1";"2025-10-13";"4";"6";"";"";"";""
"287";"2";"2025-10-14";"5";"7";"";"";"";""
"288";"3";"2025-10-15";"";"8";"3";"";"";""
"289";"4";"2025-10-16";"";"9";"4";"";"";""
"290";"5";"2025-10-17";"";"13";"5";"";"";""
"291";"";"2025-10-18";"";"";"";"";"";""
"292";"";"2025-10-19";"";"";"";"";"";""
"293";"6";"2025-10-20";"1";"10";"";"";"";""
"294";"7";"2025-10-21";"2";"11";"";"";"";""
"295";"8";"2025-10-22";"";"12,19";"1";"";"";""
"296";"9";"2025-10-23";"";"15";"2";"";"";""
"297";"10";"2025-10-24";"3";"20";"";"";"";""
"298";"";"2025-10-25";"";"";"";"";"";""
"299";"";"2025-10-26";"";"";"";"";"";""
"300";"1";"2025-10-27";"4";"";"";"";"";""
"301";"2";"2025-10-28";"5";"16";"";"";"";""
"302";"3";"2025-10-29";"";"17";"3";"";"";""
"303";"4";"2025-10-30";"";"18";"4";"";"";""
"304";"5";"2025-10-31";"";"";"5";"";"";""
"305";"";"2025-11-01";"";"";"";"";"";""
"306";"";"2025-11-02";"";"";"";"";"";""
"307";"6";"2025-11-03";"1";"1";"";"";"";""
"308";"7";"2025-11-04";"2";"2";"";"";"";""
"309";"8";"2025-11-05";"";"3";"1";"";"";""
"310";"9";"2025-11-06";"";"4,14";"2";"";"2";""
"311";"10";"2025-11-07";"3";"5";"";"";"";""
"312";"";"2025-11-08";"";"";"";"";"1";""
"313";"";"2025-11-09";"";"";"";"";"";""
"314";"1";"2025-11-10";"4";"6";"";"1";"";""
"315";"2";"2025-11-11";"5";"7";"";"2";"";""
"316";"3";"2025-11-12";"";"8";"3";"3";"";""
"317";"4";"2025-11-13";"";"9";"4";"4";"3";""
"318";"5";"2025-11-14";"";"13";"5";"5";"";""
"319";"";"2025-11-15";"";"";"";"";"";""
"320";"";"2025-11-16";"";"";"";"";"";""
"321";"6";"2025-11-17";"1";"10";"";"6";"";""
"322";"7";"2025-11-18";"2";"11";"";"7";"";""
"323";"8";"2025-11-19";"";"12,19";"1";"8";"";""
"324";"9";"2025-11-20";"";"15";"2";"9";"4";""
"325";"10";"2025-11-21";"3";"20";"";"10";"";""
"326";"";"2025-11-22";"";"";"";"";"";""
"327";"";"2025-11-23";"";"";"";"";"";""
"328";"1";"2025-11-24";"4";"";"";"";"";""
"329";"2";"2025-11-25";"5";"16";"";"";"";""
"330";"3";"2025-11-26";"";"17";"3";"";"";""
"331";"4";"2025-11-27";"";"18";"4";"";"5";""
"332";"5";"2025-11-28";"";"";"5";"";"";""
"333";"";"2025-11-29";"";"";"";"";"";""
"334";"";"2025-11-30";"";"";"";"";"";""
"335";"6";"2025-12-01";"1";"1";"";"";"";""
"336";"7";"2025-12-02";"2";"2";"";"";"";""
"337";"8";"2025-12-03";"";"3";"1";"";"";""
"338";"9";"2025-12-04";"";"4,14";"2";"";"";""
"339";"10";"2025-12-05";"3";"5";"";"";"";""
"340";"";"2025-12-06";"";"";"";"";"1";""
"341";"";"2025-12-07";"";"";"";"";"";""
"342";"1";"2025-12-08";"4";"6";"";"";"";""
"343";"2";"2025-12-09";"5";"7";"";"";"";""
"344";"3";"2025-12-10";"";"8";"3";"";"";""
"345";"4";"2025-12-11";"";"9";"4";"";"";""
"346";"5";"2025-12-12";"";"13";"5";"";"";""
"347";"";"2025-12-13";"";"";"";"";"";""
"348";"";"2025-12-14";"";"";"";"";"";""
"349";"6";"2025-12-15";"1";"10";"";"";"";""
"350";"7";"2025-12-16";"2";"11";"";"";"";""
"351";"8";"2025-12-17";"";"12,19";"1";"";"";""
"352";"9";"2025-12-18";"";"15";"2";"";"";""
"353";"10";"2025-12-19";"3";"20";"";"";"";""
"354";"1";"2025-12-20";"4";"";"";"";"";""
"355";"";"2025-12-21";"";"";"";"";"";""
"356";"2";"2025-12-22";"5";"16";"";"";"";""
"357";"3";"2025-12-23";"";"17";"3";"";"";""
"358";"4";"2025-12-24";"";"18";"4";"";"";""
"359";"";"2025-12-25";"";"";"";"";"";""
"360";"";"2025-12-26";"";"";"";"";"";""
"361";"5";"2025-12-27";"";"";"5";"";"";""
"362";"";"2025-12-28";"";"";"";"";"";""
"363";"6";"2025-12-29";"1";"1";"";"";"";""
"364";"7";"2025-12-30";"2";"2";"";"";"";""
"365";"8";"2025-12-31";"";"3";"1";"";"";""
