"id";"name";"zusatz";"restabfall";"biotonne";"papiertonne";"gelber_sack";"gruenschnitt";"del";"plz"
"734";"Peterstraße";"";"5";"6";"4";"5";"6";"";"47441"
"735";"Peter-Vischer-Straße";"";"1";"3";"2";"3";"3";"";"47447"
"736";"Peter-Zimmer-Straße";"";"2";"10";"7";"7";"10";"";"47443"
"737";"Pfefferstraße";"";"3";"6";"8";"9";"6";"";"47441"
"738";"Pferdsweide";"";"3";"4";"14";"10";"4";"";"47441"
"739";"Pinienweg";"";"1";"2";"1";"4";"2";"";"47447"
"740";"Pirolweg";"";"3";"2";"8";"9";"2";"";"47441"
"741";"Planetenstraße";"";"2";"8";"11";"1";"8";"";"47443"
"742";"Platanenweg";"";"1";"2";"1";"4";"2";"";"47447"
"743";"Plißstraße";"";"4";"4";"20";"10";"4";"";"47445,47475"
"744";"Plutoring";"";"2";"8";"11";"1";"8";"";"47443"
"745";"Posener Straße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"746";"Postillionstraße";"";"4";"9";"20";"10";"9";"";"47445"
"747";"Prinzenstraße";"";"5";"6";"5";"8";"6";"";"47441"
"748";"Pusenhof";"";"4";"9";"20";"10";"9";"";"47445"
"750";"Raiffeisenstraße";"";"3";"9";"14";"10";"9";"";"47506,47445"
"751";"Rathausallee";"";"7";"4";"5";"6";"4";"";"47445"
"753";"Rayer Straße";"";"4";"9";"20";"10";"9";"";"47445"
"754";"Reichenbachstraße";"";"5";"6";"5";"5";"6";"";"47441"
"755";"Reichweinstraße";"";"5";"6";"1";"5";"6";"";"47441"
"756";"Reinhardstraße";"";"5";"6";"4";"5";"6";"";"47441"
"757";"Reinhold-Büttner-Straße";"";"7";"4";"12";"6";"4";"";"47445"
"758";"Reitweg";"";"8";"4";"20";"6";"4";"";"47445,47495"
"759";"Rembrandtstraße";"";"1";"3";"2";"4";"3";"";"47447"
"760";"Repelener Straße";"";"3";"2";"8";"8";"2";"";"47506,47441"
"762";"Rheinberger Straße";"1-101,2-104";"3";"4";"17";"8";"4";"";"47441"
"763";"Rheinberger Straße";"103-367,104-310";"8";"4";"19";"6";"4";"";"47445"
"765";"Rheinberger Straße";"369-Ende,312-Ende";"8";"4";"20";"6";"4";"";"47445, 47441"
"767";"Rheinkamper Straße";"";"8";"4";"20";"6";"4";"";"47445"
"768";"Rheinlandstraße";"";"4";"4";"20";"10";"4";"";"47445"
"769";"Rheinpreußenstraße";"";"8";"4";"19";"6";"4";"";"47445"
"770";"Rheinstraße";"";"6";"1";"3";"9";"1";"";"47447"
"771";"Ricardastraße";"";"6";"1";"3";"9";"1";"";"47447"
"772";"Richard-Löchel-Straße";"";"3";"4";"14";"10";"4";"";"47441"
"773";"Richardstraße";"";"3";"9";"14";"6";"9";"";"47445,47506"
"774";"Richard-Wagner-Straße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"775";"Riesengebirgsstraße";"";"7";"4";"19";"6";"4";"";"47445"
"776";"Rieserstraße";"";"3";"2";"12";"9";"2";"";"47441"
"777";"Ringstraße";"";"6";"1";"3";"9";"1";"";"47506,47447"
"778";"Robert-Koch-Straße";"";"6";"1";"3";"9";"1";"";"47447"
"779";"Robertstraße";"";"1";"3";"1";"3";"3";"";"47441"
"780";"Robinienweg";"";"1";"2";"1";"4";"2";"";"47447"
