Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
Edmundstraße;6;1;3;5;1;
Eduardstraße;1;4;4;2;4;
Egonstraße;6;1;3;5;1;
Ehrenmalstraße;6;1;3;5;1;Di
Eibenweg;6;2;1;5;2;
Eichbuschweg;10;2;3;5;2;
Eichendorffstraße;4;9;18;6;9;Fr
Eichenstraße;5;6;13;4;6;Di
Eicker Grund;8;10;19;6;10;Mo
Eickschenweg;10;9;11;6;9;
Einsteinstraße;2;3;5;2;3;
Eisenbahnstraße;8;10;15;4;10;
Eisenstraße;9;8;9;1;8;Mo
Elbestraße;9;8;9;1;8;Mo
Elbinger Ring;8;10;19;6;10;
Elenastraße;7;3;4;2;3;
Elisabeth-Selbert-Straße;10;9;11;6;9;
Elisenstraße;6;1;3;5;1;
Elly-Heuss-Knapp-Weg;10;9;11;6;9;
Elsterfeldstraße;10;10;20;6;10;
Elsterstraße;5;7;12;4;7;Mo
Emanuelstraße;4;9;18;6;9;
Emil-Nolde-Straße;1;4;2;3;4;Do
Endstraße (*1);4;10;14;3;10;Do
Engelbertstraße;7;5;13;2;5;
Engelsberg;5;7;12;4;7;
Erftstraße;9;8;9;1;8;
Erich-Kästner-Straße (*1);6;1;3;5;1;Di
Erikaweg;1;4;6;3;4;
Erlenweg;6;2;1;5;2;
Ernst-Barlach-Straße;6;1;3;5;1;Di
Ernst-Holla-Straße;9;6;7;1;6;Mo
Ernststraße;7;6;13;2;6;
Erzgebirgsstraße;8;10;19;6;10;
Eschenweg;6;2;1;5;2;
Essenberger Straße von Nr. 1-9 und 2-8;7;3;17;3;3;Di
Essenberger Straße von Nr. 9a-115 und 10-116;7;3;17;2;3;Di
Essenberger Straße von Nr. 117-Ende und 118-Ende;7;3;13;2;3;Mo
Eulenweg;3;2;8;3;2;
Eupener Platz;9;8;9;1;8;Mo
Eupener Straße;9;8;9;1;8;Mo
Eurotec-Ring;8;10;15;1;10;Mi
Ewaldstraße;6;1;3;5;1;
Falkenweg;3;2;8;3;2;
Fasanenplatz;3;2;8;3;2;Fr
Fasanenstraße;3;2;8;3;2;Fr
Feldmannstraße;4;9;18;6;9;Fr
Feldstraße;3;3;16;3;3;
Felixweg;5;6;13;4;6;
Felkestraße;4;9;18;6;9;Fr
Fenchelstraße;8;10;19;6;10;
Ferdinandstraße;7;5;13;2;5;
Ferdinand-Zeppelin-Straße;4;10;14;3;10;Do
Feuerbachstraße;1;4;2;3;4;
Fichtenstraße;6;2;1;5;2;
Fieselstraße (*1,*2);3;3;8;3;3;S1
Filder Straße (*1);2;3;5;2;3;Fr
Finkstraße;4;9;18;6;9;Fr
Fliederweg;4;9;20;6;9;
Florastraße;7;5;13;2;5;
Flurweg;6;2;1;5;2;
Föhrenstraße;6;2;1;5;2;
Fontanestraße;8;10;15;4;10;Do
Forststraße;5;8;15;4;8;
Frankenstraße;8;10;19;6;10;
Franz-Haniel-Straße;5;6;10;4;6;Di
Franz-Marc-Straße;6;1;3;5;1;
Franz-Saumer-Weg;5;7;12;4;7;
Franzstraße;1;4;4;2;4;
