_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
174;Bullermannshof;3;10;14;3;10;
175;Bunsenweg;2;3;5;3;3;
176;Bunzlauer Straße;5;7;10;5;7;
177;Burgstraße;3;3;8;3;3;
178;Burgundenstraße;8;10;19;5;10;
179;Buschmannsweg;6;2;1;6;2;
180;Buschstraße;8;10;19;5;10;
181;Bussardweg;3;2;8;3;2;
182;Callunaweg;1;4;6;2;4;
183;Calvinstraße;1;4;6;2;4;
184;Carlo-Schmid-Straße;10;9;11;4;9;
185;Carl-Peschken-Straße;3;10;14;3;10;
186;Carl-von-Ossietzky-Straße;6;1;3;6;1;
187;Carl-Zeiss-Straße;4;9;14;3;9;
188;Cecilienstraße;5;6;13;2;6;
189;Charlottenstraße;6;1;3;6;1;
190;Chemnitzer Straße;2;4;4;3;4;
191;Cheruskerstraße;7;5;4;2;5;
192;Christianstraße;7;5;7;2;5;
193;Christian-von-Wolff-Weg;2;3;5;3;3;
194;Christine-Hirschmann-Weg;5;7;12;5;7;
195;Christine-Teusch-Straße;10;9;11;4;9;
196;Claudiusstraße;7;5;4;2;5;
197;Clausthalstraße;2;3;16;1;3;
198;Cloudtstraße;2;3;16;1;3;
199;Cranachstraße;1;4;2;2;4;
200;Crusestraße;2;3;16;3;3;
201;Dachsweg;3;10;15;1;10;
202;Daheimstraße;1;4;6;2;4;
203;Dahlienweg;6;1;3;6;1;
204;Damaschkestraße;7;6;13;2;6;
205;Danziger Straße;10;9;11;4;9;
206;Davidstraße;7;5;7;2;5;
207;Dessauerstraße;8;8;15;5;8;
208;Diergardtstraße;2;3;5;3;3;
209;Dieselstraße;5;7;12;5;7;
210;Diesterwegstraße;2;3;16;1;3;
211;Dietrichstraße;7;6;13;2;6;
212;Dillschenweg;10;10;20;4;10;
213;Dohlenstraße;5;7;12;5;7;
214;Donaustraße;9;8;9;1;8;
215;Dongrathshof;4;9;18;4;9;
216;Dongstraße;4;9;14;3;9;
217;Dorfstraße;1;4;6;2;4;
218;Dorotheenstraße;2;3;4;2;3;
219;Dorsterfeldstraße;6;1;3;6;1;
220;Dr.-Berns-Straße;3;10;14;3;10;
221;Dr.-Fabricius-Straße;2;3;5;3;3;
222;Dr.-Hermann-Bähr-Straße;3;3;8;3;3;
223;Dr.-H.-Boschheidgen-Str.;2;3;5;3;3;
224;Dr.-Karl-Hirschberg-Straße;2;3;5;3;3;
225;Drennesweg;4;9;14;3;9;
226;Dresdener Ring;2;4;4;2;4;
227;Drinhausstraße;6;1;3;6;1;
228;Drosselstraße;4;9;18;4;9;
229;Droste-Hülshoff-Straße;8;8;15;5;8;
230;Drususstraße;7;5;4;2;5;
231;Duisburger Straße;5;6;10;5;6;
232;Düppelstraße;2;3;5;3;3;
233;Dürerstraße;1;4;2;2;4;
234;Düsseldorfer Straße;0;0;0;0;0;1
235;Edmundstraße;6;1;3;6;1;
236;Eduardstraße;1;4;4;2;4;
237;Egonstraße;6;1;3;6;1;
238;Ehrenmalstraße;6;1;3;6;1;
239;Eibenweg;6;2;1;6;2;
240;Eichbuschweg;6;2;3;6;2;
241;Eichendorffstraße;4;9;18;4;9;
242;Eichenstraße;5;6;13;5;6;
243;Eicker Grund;8;10;19;5;10;
244;Eickschenweg;10;9;11;4;9;
245;Einsteinstraße;2;3;5;3;3;
246;Eisenbahnstraße;8;8;15;5;8;
247;Eisenstraße;9;8;9;1;8;
248;Elbestraße;9;8;9;1;8;
249;Elbinger Ring;8;10;19;5;10;
250;Elenastraße;2;3;4;2;3;
251;Elisabeth-Selbert-Straße;10;9;11;4;9;
252;Elisenstraße;6;1;3;6;1;
253;Elly-Heuss-Knapp-Weg;10;9;11;4;9;
254;Elsterfeldstraße;10;10;20;4;10;
255;Elsterstraße;9;7;12;5;7;
256;Emanuelstraße;4;9;18;4;9;
257;Emil-Nolde-Straße;1;4;2;2;4;
258;Endstraße;4;9;14;3;9;
259;Engelbertstraße;7;5;13;2;5;
260;Engelsberg;5;7;12;5;7;
261;Erftstraße;9;8;9;1;8;
262;Erich-Kästner-Straße;6;1;3;6;1;
263;Erikaweg;1;4;6;2;4;
264;Erlenweg;6;2;1;6;2;
265;Ernst-Barlach-Straße;6;1;3;6;1;
266;Ernst-Holla-Straße;9;6;7;1;6;
267;Ernststraße;7;6;13;2;6;
268;Erzgebirgsstraße;8;10;19;5;10;
269;Eschenweg;6;2;1;6;2;
270;"Essenberger Straße (117-Ende; 118-Ende)";7;5;13;2;5;
271;Eulenweg;3;2;8;3;2;
272;Eupener Platz;9;8;9;1;8;
273;Eupener Straße;9;8;9;1;8;
274;Eurotec-Ring;8;10;15;1;10;
275;Ewaldstraße;6;1;3;6;1;
276;Falkenweg;3;2;8;3;2;
277;Fasanenplatz;3;2;8;3;2;
278;Fasanenstraße;3;2;8;3;2;
279;Feldmannstraße;4;9;18;4;9;
280;Feldstraße;2;3;16;3;3;
281;Felixweg;5;6;13;5;6;
282;Felkestraße;4;9;18;4;9;
283;Fenchelstraße;8;10;19;5;10;
284;Ferdinandstraße;7;5;13;2;5;
285;Ferdinand-Zeppelin-Straße;4;9;14;3;9;
286;Feuerbachstraße;1;4;2;2;4;
287;Fichtenstraße;6;2;1;6;2;
288;Fieselstraße;3;3;8;3;3;
289;Filder Straße;2;3;5;3;3;
290;Finkstraße;4;9;18;4;9;
291;Fliederweg;4;9;20;4;9;
292;Florastraße;7;5;13;2;5;
293;Flurweg;6;2;1;6;2;
294;Föhrenstraße;6;2;1;6;2;
