_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
160;Brahmsstraße;6;1;3;6;1;
161;Breslauer Straße;9;7;9;1;7;
162;Breuelstraße;10;10;20;4;10;
163;Brieger Straße;5;7;10;5;7;
164;Brinkenhof;4;9;18;4;9;
165;Bruchstraße;6;2;3;6;2;
166;Bruckschenweg;3;2;8;3;2;
167;Brückstraße;10;10;20;4;10;
168;Brüggerfeldweg;6;2;1;6;2;
169;Brunostraße;2;3;16;1;3;
170;Bucerstraße;1;4;6;2;4;
171;Buchenweg;6;2;1;6;2;
172;Buchmannstraße;9;6;7;1;6;
173;Budberger Weg;10;10;20;4;10;
