_id;Straße;Restabfall;Biotonne;Papiertonne;Gelber Sack;Grünschnitt;Kehrtag
211;Dachsweg;3;10;15;1;10;
212;Daheimstraße;1;4;6;2;4;
213;Dahlienweg;6;1;3;6;1;
214;Damaschkestraße;7;6;13;2;6;
215;Danziger Straße;10;9;11;4;9;
217;Davidstraße;7;5;7;2;5;
218;Dessauerstraße;8;8;15;5;8;
219;Diergardtstraße;2;3;5;3;3;
220;Dieselstraße;5;7;12;5;7;
221;Diesterwegstraße;2;3;16;1;3;
222;Dietrichstraße;7;6;13;2;6;
223;Dillschenweg;10;10;20;4;10;
224;Dohlenstraße;5;7;12;5;7;
225;Donaustraße;9;8;9;1;8;
227;Dongrathshof;4;9;18;4;9;
228;Dongstraße;4;9;14;3;9;
229;Dorfstraße;1;4;6;2;4;
230;Dorotheenstraße;2;3;4;2;3;
232;Dorsterfeldstraße;6;1;3;6;1;
233;Dr.-Berns-Straße;3;10;14;3;10;
234;Dr.-Fabricius-Straße;2;3;5;3;3;
235;Dr.-Hermann-Bähr-Straße;3;3;8;3;3;
236;Dr.-H.-Boschheidgen-Str.;2;3;5;3;3;
237;Dr.-Karl-Hirschberg-Straße;2;3;5;3;3;
238;Drennesweg;4;9;14;3;9;
239;Dresdener Ring;2;4;4;2;4;
240;Drinhausstraße;6;1;3;6;1;
241;Drosselstraße;4;9;18;4;9;
242;Droste-Hülshoff-Straße;8;8;15;5;8;
243;Drususstraße;7;5;4;2;5;
244;Duisburger Straße;5;6;10;5;6;
245;Düppelstraße;2;3;5;3;3;
246;Dürerstraße;1;4;2;2;4;
248;Düsseldorfer Straße;0;0;0;0;0;1
250;Edmundstraße;6;1;3;6;1;
251;Eduardstraße;1;4;4;2;4;
252;Egonstraße;6;1;3;6;1;
253;Ehrenmalstraße;6;1;3;6;1;
254;Eibenweg;6;2;1;6;2;
255;Eichbuschweg;6;2;3;6;2;
256;Eichendorffstraße;4;9;18;4;9;
257;Eichenstraße;5;6;13;5;6;
258;Eicker Grund;8;10;19;5;10;
259;Eickschenweg;10;9;11;4;9;
260;Einsteinstraße;2;3;5;3;3;
261;Eisenbahnstraße;8;8;15;5;8;
262;Eisenstraße;9;8;9;1;8;
263;Elbestraße;9;8;9;1;8;
264;Elbinger Ring;8;10;19;5;10;
265;Elenastraße;2;3;4;2;3;
266;Elisabeth-Selbert-Straße;10;9;11;4;9;
267;Elisenstraße;6;1;3;6;1;
268;Elly-Heuss-Knapp-Weg;10;9;11;4;9;
269;Elsterfeldstraße;10;10;20;4;10;
270;Elsterstraße;9;7;12;5;7;
271;Emanuelstraße;4;9;18;4;9;
272;Emil-Nolde-Straße;1;4;2;2;4;
273;Endstraße;4;9;14;3;9;
274;Engelbertstraße;7;5;13;2;5;
275;Engelsberg;5;7;12;5;7;
276;Erftstraße;9;8;9;1;8;
277;Erich-Kästner-Straße;6;1;3;6;1;
278;Erikaweg;1;4;6;2;4;
279;Erlenweg;6;2;1;6;2;
281;Ernst-Barlach-Straße;6;1;3;6;1;
282;Ernst-Holla-Straße;9;6;7;1;6;
283;Ernststraße;7;6;13;2;6;
284;Erzgebirgsstraße;8;10;19;5;10;
285;Eschenweg;6;2;1;6;2;
287;Essenberger Straße (117-Ende, 118-Ende);7;5;13;2;5;
290;Eulenweg;3;2;8;3;2;
291;Eupener Platz;9;8;9;1;8;
292;Eupener Straße;9;8;9;1;8;
293;Eurotec-Ring;8;10;15;1;10;
294;Ewaldstraße;6;1;3;6;1;
295;Falkenweg;3;2;8;3;2;
296;Fasanenplatz;3;2;8;3;2;
297;Fasanenstraße;3;2;8;3;2;
298;Feldmannstraße;4;9;18;4;9;
299;Feldstraße;2;3;16;3;3;
300;Felixweg;5;6;13;5;6;
301;Felkestraße;4;9;18;4;9;
302;Fenchelstraße;8;10;19;5;10;
303;Ferdinandstraße;7;5;13;2;5;
304;Ferdinand-Zeppelin-Straße;4;9;14;3;9;
305;Feuerbachstraße;1;4;2;2;4;
306;Fichtenstraße;6;2;1;6;2;
307;Fieselstraße;3;3;8;3;3;
308;Filder Straße;2;3;5;3;3;
310;Finkstraße;4;9;18;4;9;
311;Fliederweg;4;9;20;4;9;
312;Florastraße;7;5;13;2;5;
313;Flurweg;6;2;1;6;2;
314;Föhrenstraße;6;2;1;6;2;
315;Fontanestraße;8;8;15;5;8;
316;Forststraße;9;8;15;5;8;
317;Frankenstraße;8;10;19;5;10;
318;Franz-Haniel-Straße;5;6;10;5;6;
319;Franz-Marc-Straße;6;1;3;6;1;
320;Franz-Saumer-Weg;5;7;12;5;7;
321;Franzstraße;1;4;4;2;4;
322;Freiligrathstraße;4;9;18;3;9;
323;Friedenstraße;8;10;19;5;10;
324;Friedhofstraße;6;1;3;6;1;
325;Friedrich-Ebert-Straße;6;1;3;6;1;
326;Friedrich-Schelling-Straße;2;3;5;3;3;
327;Friedrichstraße;3;3;8;3;3;
328;Friemersheimer Straße;1;5;4;2;5;
329;Friesenstraße;8;10;19;5;10;
330;Frietstraße;10;10;20;4;10;
331;Fritz-Husemann-Straße;10;9;11;4;9;
332;Fritz-Peters-Straße;6;1;3;6;1;
333;Fritz-Reuter-Straße;6;1;3;6;1;
334;Fröbelstraße;2;3;4;3;3;
335;Fuchsienweg;6;1;3;6;1;
336;Fuldastraße;9;7;9;1;7;
337;Gabelsbergerstraße;2;3;16;1;3;
338;Galgenbergsheide;9;7;7;5;7;
339;Gallierring;8;10;19;5;10;
340;Galmesweg;4;9;14;3;9;
341;Gartenstraße;2;3;5;3;3;
342;Gaußstraße;2;3;5;3;3;
343;Gebrüder-Grimm-Platz;6;1;3;6;1;
344;Geldernsche Straße;3;2;14;3;2;
345;Gellertstraße;2;3;16;1;3;
346;Genender Platz;4;9;14;3;9;
347;Genender Weg;4;9;14;3;9;
348;Georgstraße;6;1;3;6;1;
349;Geranienstraße;6;1;3;6;1;
350;Gerhardstraße;7;5;13;2;5;
351;Gerhart-Hauptmann-Straße;4;9;18;4;9;
352;Germanenstraße;7;5;13;2;5;
353;Germendonks Kamp;5;7;12;5;7;
354;Germerdonkstraße;6;1;3;6;1;
355;Gertrud-Bäumer-Straße;10;9;11;4;9;
356;Gertrudenweg;6;1;3;6;1;
357;Gimpelweg;5;7;12;5;7;
358;Ginsterweg;1;4;6;2;4;
359;Gladiolenweg;6;1;3;6;1;
360;Gleiwitzer Straße;5;7;10;5;7;
361;Glogauer Straße;5;7;10;5;7;
362;Glückaufstraße;9;8;9;1;8;
363;Glücksburger Straße;9;7;9;1;7;
364;Goebenstraße;2;3;5;3;3;
365;Goethestraße;2;3;17;3;3;
366;Goldammerweg;3;2;8;3;2;
367;Goldaper Weg;10;9;11;4;9;
368;Goldberger Straße;5;7;10;5;7;
369;Görlitzer Straße;5;7;12;5;7;
370;Gotenstraße;7;5;13;2;5;
371;Grabenstraße;6;1;3;6;1;
372;Grafschafter Straße;9;8;9;1;8;
373;Greefstraße;2;3;16;3;3;
374;Grenzstraße;7;5;13;2;5;
375;Greta-Rothe-Straße;7;5;13;5;5;
376;Grillparzerweg;8;8;15;5;8;
377;Grotfeldsweg;6;1;14;6;1;
378;Grubenstraße;4;9;18;4;9;
379;Grünberger Straße;5;7;10;5;7;
380;Grünbergstraße;4;9;14;3;9;
381;Grüner Weg;9;6;7;1;6;
382;Grünewaldstraße;1;4;2;2;4;
383;Grüngürtel;4;9;18;4;9;
384;Guntherstraße;7;5;13;2;5;
385;Gustav-Grossmann-Straße;10;9;11;4;9;
386;Gutenbergstraße;9;8;15;5;8;
387;Haagstraße;3;3;8;3;3;
388;Haarbeckstraße;4;9;18;4;9;
389;Habichtstraße;4;9;18;4;9;
390;Hadrianstraße;7;5;4;2;5;
391;Haffstraße;10;9;11;4;9;
392;Hagebuttenweg;8;10;19;5;10;
393;Hagenstraße;10;10;20;4;10;
394;Hainbuchenstraße;5;6;13;5;6;
395;Haldenstraße;9;8;9;1;8;
396;Hammerstraße;9;8;9;1;8;
397;Hanckwitzstraße;3;3;8;3;3;
398;Händelstraße;6;1;3;6;1;
399;Hans-Böckler-Straße;6;1;3;6;1;
400;Hans-Sachs-Straße;8;8;15;5;8;
401;Hanns-Albeck-Platz;2;3;8;3;3;
402;Hanns-Dieter-Hüsch-Platz;3;3;8;3;3;
403;Hasenweg;3;2;14;3;2;
404;Haspelstraße;5;6;10;5;6;
405;Hattropstraße;5;7;12;5;7;
406;Havelweg;10;10;19;5;10;
407;Hebbelstraße;8;8;15;5;8;
408;Hedwigstraße;6;1;3;6;1;
409;Hegelstraße;2;3;5;3;3;
410;Heideweg;1;4;6;2;4;
411;Heiermannsweg;4;9;18;4;9;
412;Heimbergstraße;1;5;4;2;5;
413;Heinestraße;4;9;18;3;9;
414;Heinrich-Hertz-Straße;4;9;14;3;9;
415;Heinrich-Mann-Straße;6;1;3;6;1;
416;Heinrichstraße;7;5;7;2;5;
417;Heinrich-Zille-Weg;6;1;3;6;1;
418;Heisterfeldstraße;10;10;20;4;10;
419;Heisterweg;8;10;19;5;10;
420;Helenenstraße;6;1;3;6;1;
421;Helmholtzstraße;2;3;5;3;3;
422;Helmutstraße;7;6;13;2;6;
423;Henri-Dunant-Straße;6;1;3;6;1;
424;Henriettenweg;5;6;10;5;6;
425;Herbertstraße;7;6;13;2;6;
426;Herderstraße;8;8;15;5;8;
427;Herkenweg;1;5;4;2;5;
428;Hermann-Löns-Weg;6;1;3;6;1;
429;Hermann-Meiwes-Straße;6;1;3;6;1;
430;Hermannstraße;7;5;4;2;5;
431;Hermann-Vennemann-Straße;10;9;11;4;9;
432;Hermelinweg;7;5;13;2;5;
433;Herzogstraße;4;9;18;3;9;
434;Hinter dem Acker;10;9;11;4;9;
435;Hinter der Bahn;7;3;4;2;3;
436;Hirtenweg;5;7;12;5;7;
437;Hochemmericher Straße;1;5;4;2;5;
438;Hochstraße;5;7;12;5;7;
439;Höferstraße;6;1;3;6;1;
440;Hoffnungsstraße;3;10;16;3;10;
441;Hofkamp;7;5;13;2;5;
442;Hofstraße;6;1;3;6;1;
443;Hohenforsterweg;6;1;3;6;1;
444;Höhenweg;6;1;3;6;1;
445;Hoher Weg;4;9;20;4;9;
447;Holbeinstraße;1;4;2;2;4;
448;Holderberger Straße;6;2;1;6;2;
450;Hölderlinstraße;8;8;15;5;8;
451;Holunderstraße;8;10;19;5;10;
452;Homberger Straße (1-109 und 2-120);0;0;0;0;0;1
453;Homberger Straße (Nr. 111-205 und 122-208);7;6;13;2;6;
454;Homberger Straße (Nr. 207/ 240 bis Ende);7;6;13;2;6;
457;Hopfenstraße;2;3;17;3;3;
458;Horstmannsweg;4;9;14;3;9;
459;Hourtenhofstraße;4;9;18;4;9;
460;Hubertusstraße;3;2;8;3;2;
461;Huckstraße;10;10;20;4;10;
462;Hügelstraße;1;4;6;2;4;
463;Hugostraße;7;5;13;2;5;
464;Hülsdonker Straße;3;2;14;3;2;
465;Hülshorstweg;6;1;14;6;1;
466;Hülskensweg;6;1;3;6;1;
467;Humboldtstraße;2;3;5;3;3;
468;Illbrucksweg;6;1;1;6;1;
469;Illerstraße;6;1;3;6;1;
470;Im Angerfeld;8;10;19;5;10;
471;Im Binnefeld;10;10;19;5;10;
472;Im Boschfeld;8;10;19;5;10;
473;Im Bruch;7;6;7;2;6;
474;Im Bruckschefeld;6;1;3;6;1;
475;Im Felde;10;9;11;4;9;
476;Im Grünen Winkel;9;6;7;1;6;
477;Im Hackerfeld;1;5;4;2;5;
478;Im Haselbusch;6;1;14;6;1;
479;Im Hochfeld;10;10;20;4;10;
480;Im Kämpken;7;6;7;2;6;
481;Im Krähenfeld;10;10;20;4;10;
482;Im Kuhfeld;1;4;6;2;4;
483;Im Meerfeld;10;9;11;4;9;
484;Im Moerser Feld;3;10;14;1;10;
485;Im Niederfeld;10;9;11;4;9;
486;Im Ohl;2;3;5;3;3;
487;Im Rehwinkel;9;8;15;5;8;
488;Im Repelener Feld;10;9;11;4;9;
489;Im Rheinkamper Feld;10;9;11;4;9;
490;Im Ring;10;9;11;4;9;
491;Im Rosenthal;3;3;8;3;3;
492;Im Schommer;8;8;15;5;8;
493;Im Schroersfeld;3;2;14;3;2;
494;Im Schwarzen Bruch;6;1;3;6;1;
495;Im Utforter Feld;8;10;19;5;10;
496;Im Weidekamp;6;2;1;6;2;
497;Im Weißen Hag;10;9;11;4;9;
498;Im Winkel;6;2;1;6;2;
499;In den Gärten;6;1;3;6;1;
500;In den Weiden;3;2;14;3;2;
501;In der Dong;4;9;14;3;9;
502;In Sandfort;4;9;14;3;9;
503;Industriestraße;6;1;3;6;1;
504;Insterburger Straße;10;9;11;4;9;
505;Isarstraße;6;1;3;6;1;
506;Isergebirgsstraße;8;10;19;5;10;
507;Jägerstraße;8;10;19;5;10;
508;Jahnstraße;9;8;9;1;8;
509;Jakob-Schroer-Straße;9;8;15;5;8;
510;Jakobweg;7;2;13;2;2;
511;James-Krüss-Straße;6;1;3;6;1;
512;Jan-Hus-Straße;1;4;6;2;4;
513;Joachimstraße;5;6;10;5;6;
514;Jockenstraße;8;10;19;5;10;
515;Johann-Steegmann-Allee;4;9;20;4;9;
516;Josef-Peil-Weg;8;10;19;5;10;
517;Josefstraße;2;3;4;3;3;
518;Jüchenstraße;9;5;15;5;5;
519;Julius-Genner-Straße;2;3;16;3;3;
520;Julius-Leber-Straße;2;3;8;3;3;
521;Jungbornstraße;4;9;18;4;9;
522;Jupiterweg;5;7;12;5;7;
523;Jütenstraße;8;10;19;5;10;
524;Kaiserstraße;2;3;4;3;3;
525;Kaldenhausener Straße;6;2;1;6;2;
526;Kamper Straße;4;9;18;3;9;
528;Kampstraße;8;10;19;5;10;
529;Kantstraße;2;3;5;3;3;
530;Karl-Hoffmeister-Platz;2;3;17;3;3;
531;Karl-Hoffmeister-Straße;2;3;17;3;3;
532;Karlstraße;7;6;13;2;6;
533;Karolingerstraße;8;10;19;5;10;
534;Kastanienstraße;6;2;1;6;2;
535;Kastell;3;3;8;3;3;
536;Katharinenstraße;6;1;3;6;1;
537;Käthe-Kollwitz-Straße;4;9;20;4;9;
538;Kattlachstraße;10;10;20;4;10;
539;Kattowitzer Straße;5;7;10;5;7;
540;Katzbachstraße;5;7;10;5;7;
541;Kautzstraße;2;3;17;3;3;
542;Keltenstraße;8;10;19;5;10;
543;Kendelstraße;1;4;6;2;4;
544;Keplerstraße;2;3;5;3;3;
545;Kiebitzweg;4;9;20;4;9;
546;Kiefernkamp;8;10;19;5;10;
547;Kiefernweg;6;2;1;6;2;
548;Kieselweg;7;5;7;2;5;
549;Kimbernstraße;8;10;19;5;10;
550;Kirchfeld;2;3;16;1;3;
551;Kirchstraße;3;3;8;3;3;
552;Kirchweg;1;4;6;2;4;
553;Kirschenallee;9;7;9;1;7;
554;Klapdorsweg;6;1;3;6;1;
555;Kleestraße;5;6;10;5;6;
556;Kleine Allee;3;3;8;3;3;
557;Kleiststraße;8;8;15;5;8;
558;Klever Platz;9;8;9;1;8;
559;Klever Straße;2;3;16;1;3;
560;Klodnitzstraße;5;7;10;5;7;
561;Klosterstraße;3;3;8;3;3;
562;Knappenstraße;9;8;9;1;8;
563;Kohlenhucker Weg;10;10;20;4;10;
564;Kohlenstraße;9;7;12;1;7;
565;Kometenstraße;5;7;12;5;7;
566;Königsberger Straße;9;6;7;1;6;
568;Konrad-Adenauer-Straße;10;9;11;4;9;
569;Konradstraße;2;3;4;2;3;
570;Konrad-Zuse-Straße;8;10;15;1;10;
571;Konstantinstraße;7;5;13;2;5;
572;Kopernikusstraße;10;9;11;4;9;
573;Korneliusstraße;2;3;4;3;3;
574;Körnerstraße;8;8;15;5;8;
575;Kornstraße;5;6;10;5;6;
576;Kranichstraße;3;2;8;3;2;
577;Kranzerhof;6;1;3;6;1;
578;Krefelder Straße (1-97, 2-40);3;2;14;3;2;
579;Krefelder Straße (99-Ende, 42-Ende);6;2;14;6;2;
581;Kressenstraße;8;10;19;5;10;
582;Kronenstraße;9;7;9;1;7;
583;Kronprinzenstraße;7;5;13;2;5;
584;Kuckucksweg;4;9;18;4;9;
585;Kühlerstraße;4;9;20;4;9;
586;Kuhlmannstraße;4;9;18;4;9;
